# x_m,y_m
0.000000,0.000000
3.096469,-1.451563
6.200747,-2.907825
9.311134,-4.367069
12.430483,-5.830680
15.558529,-7.297951
18.694839,-8.768850
21.839101,-10.242220
24.992179,-11.719287
28.152712,-13.199731
31.320455,-14.683358
34.495213,-16.169956
37.677418,-17.659606
40.866448,-19.152711
44.064096,-20.649546
47.267690,-22.149565
50.477916,-23.652586
53.695485,-25.159287
56.920259,-26.668469
60.151995,-28.180965
63.390073,-29.695989
66.634119,-31.213098
69.884468,-32.732252
73.141081,-34.253349
76.401237,-35.775073
79.657199,-37.293776
82.907835,-38.808861
86.161320,-40.324192
89.421339,-41.841647
92.687892,-43.361095
95.960682,-44.882127
99.239478,-46.404373
102.524236,-47.927674
105.815793,-49.451651
109.113322,-50.974814
112.415516,-52.498491
115.727467,-54.023789
119.043740,-55.546128
122.363909,-57.068118
125.691051,-58.591268
129.027059,-60.115584
132.367941,-61.639722
135.715004,-63.166885
139.066952,-64.693974
142.424554,-66.222090
145.787096,-67.752537
149.157228,-69.285346
152.531969,-70.819960
155.911001,-72.356531
159.298227,-73.896425
162.689668,-75.439198
166.085135,-76.981131
169.487609,-78.527415
172.892845,-80.075862
176.303945,-81.625748
179.720852,-83.177516
183.143415,-84.731462
186.570795,-86.288288
190.005216,-87.847452
193.445314,-89.410144
196.887612,-90.973559
200.335785,-92.539159
203.788733,-94.106771
207.246961,-95.677087
210.709810,-97.249154
214.178027,-98.821654
217.654406,-100.397628
221.134416,-101.975339
224.618475,-103.552697
228.108276,-105.131120
231.602808,-106.710326
235.102357,-108.290194
238.604744,-109.869861
242.076626,-111.434746
248.796831,-114.464424
252.036884,-115.923364
255.180796,-117.335184
258.247769,-118.711203
261.241498,-120.054945
264.155626,-121.366075
266.992177,-122.648396
269.758651,-123.906253
272.453861,-125.136561
275.072527,-126.333844
277.614034,-127.497371
280.081592,-128.631991
282.471639,-129.741180
284.779973,-130.821249
287.016229,-131.868432
289.180976,-132.878641
291.266606,-133.849698
293.273845,-134.785551
295.203945,-135.692512
297.061394,-136.579578
298.848392,-137.449188
300.563268,-138.303279
302.206571,-139.148240
303.784637,-139.996801
305.298918,-140.861086
306.744333,-141.753886
308.126690,-142.684624
309.447265,-143.660499
310.706894,-144.683917
311.907490,-145.757015
313.052639,-146.877779
314.141593,-148.046545
315.175956,-149.263938
316.157886,-150.531162
317.085864,-151.842073
317.956371,-153.194094
318.774157,-154.594148
319.540126,-156.044231
320.252758,-157.541706
320.906578,-159.086557
321.495646,-160.677048
322.016882,-162.307918
322.465514,-163.974638
322.841145,-165.670714
323.146481,-167.392485
323.380751,-169.139967
323.547078,-170.912504
323.645728,-172.709577
323.677534,-174.527848
323.642321,-176.364526
323.541300,-178.219230
323.377702,-180.091548
323.152209,-181.979482
322.872300,-183.860436
322.553985,-185.704935
322.217895,-187.503341
321.891745,-189.259129
321.599333,-190.979343
321.354827,-192.673314
321.165990,-194.353819
321.037640,-196.023571
320.971514,-197.685483
320.971859,-199.343290
321.038365,-200.995666
321.173475,-202.637898
321.377716,-204.266390
321.650934,-205.877145
321.991765,-207.462235
322.396118,-209.016582
322.866675,-210.532915
323.399984,-212.007039
324.000355,-213.427839
324.657185,-214.790192
325.360731,-216.097926
326.126918,-217.336737
326.946880,-218.503319
327.810280,-219.598493
328.710740,-220.626043
329.653339,-221.576408
330.648217,-222.422034
331.677888,-223.197519
332.748468,-223.896963
333.856304,-224.526677
335.001661,-225.079419
336.179942,-225.552492
337.388529,-225.944460
338.626828,-226.268347
339.893102,-226.534001
341.185285,-226.734485
342.501042,-226.858761
343.837053,-226.898259
345.189182,-226.850372
346.556440,-226.715528
347.941532,-226.508743
349.348198,-226.245328
350.778464,-225.944662
352.233650,-225.628609
353.711688,-225.302858
355.211127,-224.960271
356.729987,-224.592098
358.268113,-224.196096
359.825549,-223.777572
361.403045,-223.345081
362.990218,-222.908974
364.574488,-222.475734
366.159725,-222.044750
367.772852,-221.608732
369.407931,-221.169206
371.062013,-220.727392
372.734175,-220.283837
374.424461,-219.838787
376.133267,-219.392531
377.860505,-218.945709
379.606483,-218.499053
381.370673,-218.053037
383.153559,-217.606805
384.954085,-217.158833
386.772823,-216.707506
388.608893,-216.251847
390.462911,-215.791017
392.333952,-215.324666
394.223205,-214.852961
396.130230,-214.377931
398.055731,-213.902823
399.998829,-213.432044
401.960315,-212.969527
403.940541,-212.516493
405.939684,-212.073428
407.957391,-211.640578
409.993575,-211.218719
412.048632,-210.808706
414.122385,-210.412155
416.215319,-210.031566
418.326599,-209.668144
420.456619,-209.324161
422.604853,-209.000394
424.771124,-208.696997
426.954992,-208.413327
429.156107,-208.148258
431.374598,-207.900920
433.609675,-207.668020
435.860985,-207.445592
438.128352,-207.228027
440.411863,-207.010064
442.710463,-206.787906
445.023051,-206.560973
447.350288,-206.330364
449.693142,-206.098107
452.051084,-205.865725
454.423895,-205.633205
456.811399,-205.398685
459.212935,-205.156616
461.627975,-204.898398
464.055419,-204.619075
466.495002,-204.315278
468.945933,-203.984492
471.398754,-203.627905
473.846865,-203.243461
476.293170,-202.835168
478.752979,-202.403301
481.224619,-201.949110
483.706639,-201.472854
486.199083,-200.968800
488.699618,-200.434188
491.207409,-199.868882
493.724567,-199.266080
496.247925,-198.626545
498.778362,-197.953906
501.315702,-197.244549
503.858318,-196.500641
506.407573,-195.713778
508.960123,-194.884907
511.515837,-194.016421
514.075065,-193.102100
516.636577,-192.141456
519.199449,-191.135084
521.763240,-190.082860
524.328521,-188.980868
526.892259,-187.830494
529.454716,-186.631022
532.015627,-185.378915
534.573895,-184.077008
537.128990,-182.725089
539.681133,-181.325352
542.229003,-179.870983
544.770093,-178.363918
547.305811,-176.806779
549.835100,-175.197600
552.358006,-173.537310
554.874923,-171.828701
557.386073,-170.073784
559.890574,-168.271081
562.387196,-166.420363
564.874134,-164.518977
567.349408,-162.563188
569.811743,-160.552935
572.259511,-158.485641
574.690467,-156.357677
577.103029,-154.169517
579.495744,-151.921892
581.868304,-149.616007
584.220975,-147.253448
586.553666,-144.834565
588.863652,-142.352025
591.150667,-139.815250
593.418673,-137.227656
595.667140,-134.588999
597.897917,-131.903762
600.111092,-129.172599
602.308777,-126.400345
604.492379,-123.590019
606.663131,-120.742626
608.822045,-117.861384
610.970132,-114.948038
613.108844,-112.004723
615.239326,-109.033750
617.363909,-106.037793
619.483341,-103.016525
621.596038,-99.967979
623.703320,-96.899130
625.807343,-93.807448
627.907314,-90.693245
630.004422,-87.558412
632.100823,-84.406013
634.198848,-81.239852
636.302325,-78.062681
638.412749,-74.878869
640.530165,-71.688102
642.655629,-68.491265
644.789668,-65.287352
646.931710,-62.077346
649.081669,-58.863267
651.242974,-55.646949
653.416638,-52.432455
655.607061,-49.222361
657.817587,-46.023098
660.044651,-42.834856
662.293709,-39.657910
664.563486,-36.493029
666.850593,-33.336209
669.154591,-30.187436
671.475832,-27.046361
673.813919,-23.913819
676.170041,-20.791474
678.546265,-17.683015
680.945012,-14.592960
683.364083,-11.535613
685.774272,-8.541718
688.150068,-5.630790
690.490064,-2.805100
692.796282,-0.066584
695.065864,2.594091
697.288163,5.176683
699.453634,7.684590
701.557437,10.121030
705.578767,14.785629
707.491102,17.014786
709.334907,19.179442
711.115724,21.294937
712.833154,23.371121
714.484956,25.413102
716.073722,27.431300
717.601210,29.443052
719.074326,31.463660
720.491088,33.508657
721.856510,35.592551
723.166719,37.719963
724.419340,39.890642
725.609359,42.110846
726.740250,44.377805
727.812277,46.689851
728.822186,49.048114
729.760299,51.452756
730.630488,53.893070
731.436008,56.365032
732.171670,58.870514
732.837384,61.403934
733.423299,63.965741
733.925808,66.552669
734.343942,69.163154
734.681222,71.793383
734.946973,74.440719
735.141548,77.104301
735.264068,79.779982
