# x_m,y_m
-0.433997,0.161330
-2.344443,-4.459798
-4.257911,-9.079800
-6.174336,-13.698703
-8.093653,-18.316531
-10.015797,-22.933308
-11.940703,-27.549062
-13.868306,-32.163815
-15.798541,-36.777593
-17.731343,-41.390421
-19.666647,-46.002325
-21.604389,-50.613329
-23.544502,-55.223458
-25.486923,-59.832737
-27.431585,-64.441191
-29.378425,-69.048846
-31.327377,-73.655726
-33.278376,-78.261855
-35.231357,-82.867261
-37.186255,-87.471966
-39.143006,-92.075996
-41.101543,-96.679377
-43.061803,-101.282133
-45.023720,-105.884289
-46.987229,-110.485871
-48.952266,-115.086902
-50.918764,-119.687409
-52.886660,-124.287416
-54.855888,-128.886949
-56.826383,-133.486031
-58.798080,-138.084689
-60.770915,-142.682948
-62.744822,-147.280831
-64.719736,-151.878365
-66.695593,-156.475574
-68.672326,-161.072483
-70.649872,-165.669118
-72.628166,-170.265503
-74.607141,-174.861663
-76.586734,-179.457624
-78.566879,-184.053409
-80.547512,-188.649046
-82.528567,-193.244557
-84.509979,-197.839969
-86.491684,-202.435306
-88.473615,-207.030594
-90.455710,-211.625857
-92.437901,-216.221120
-94.420126,-220.816409
-96.402317,-225.411748
-98.384411,-230.007162
-100.366342,-234.602677
-102.348046,-239.198317
-104.329457,-243.794108
-106.310510,-248.390074
-108.291141,-252.986240
-110.271285,-257.582632
-112.250876,-262.179274
-114.229849,-266.776191
-116.208140,-271.373409
-118.185683,-275.970953
-120.162414,-280.568847
-122.138267,-285.167116
-124.113178,-289.765786
-126.087082,-294.364881
-128.059912,-298.964427
-130.031606,-303.564448
-132.002097,-308.164969
-133.971320,-312.766016
-135.939211,-317.367614
-137.905705,-321.969787
-139.870736,-326.572560
-141.834240,-331.175959
-143.796151,-335.780009
-145.756405,-340.384734
-147.714986,-344.990136
-149.672031,-349.596145
-151.627706,-354.202676
-153.582175,-358.809646
-155.535606,-363.416970
-157.488162,-368.024565
-159.440010,-372.632345
-161.391316,-377.240228
-163.342245,-381.848129
-165.292963,-386.455964
-167.243635,-391.063649
-169.194427,-395.671100
-171.145505,-400.278232
-173.097034,-404.884962
-175.049180,-409.491206
-177.002108,-414.096879
-178.955984,-418.701897
-180.910974,-423.306177
-182.867244,-427.909634
-184.824958,-432.512184
-186.784283,-437.113743
-188.745383,-441.714226
-190.708426,-446.313551
-192.673576,-450.911633
-194.640999,-455.508387
-196.610861,-460.103729
-198.583327,-464.697576
-200.558562,-469.289844
-202.536734,-473.880448
-204.518006,-478.469304
-206.502545,-483.056328
-208.490516,-487.641436
-210.482086,-492.224544
-212.477418,-496.805569
-214.476680,-501.384424
-216.480037,-505.961028
-218.487652,-510.535296
-220.498504,-515.107998
-222.508380,-519.682191
-224.512535,-524.261315
-226.506224,-528.848810
-228.484704,-533.448115
-230.443229,-538.062670
-232.377055,-542.695915
-234.281437,-547.351290
-236.151632,-552.032234
-237.982919,-556.742170
-239.782416,-561.475894
-241.588025,-566.205781
-243.442586,-570.900608
-245.388939,-575.529151
-247.469923,-580.060185
-249.728378,-584.462488
-252.207146,-588.704835
-254.949064,-592.756003
-257.996926,-596.584774
-261.374345,-600.162300
