# x_m,y_m
-0.783562,0.296260
-2.678628,-4.330213
-4.581557,-8.952897
-6.491965,-13.571981
-8.409468,-18.187654
-10.333683,-22.800107
-12.264226,-27.409528
-14.200714,-32.016107
-16.142761,-36.620032
-18.089986,-41.221495
-20.042003,-45.820683
-21.998430,-50.417787
-23.958883,-55.012995
-25.922977,-59.606497
-27.890330,-64.198483
-29.860557,-68.789141
-31.833275,-73.378661
-33.808100,-77.967233
-35.784648,-82.555046
-37.762536,-87.142289
-39.741380,-91.729152
-41.720796,-96.315823
-43.700400,-100.902493
-45.679809,-105.489351
-47.658640,-110.076586
-49.636507,-114.664387
-51.613028,-119.252944
-53.587819,-123.842447
-55.560496,-128.433084
-57.530676,-133.025045
-59.497974,-137.618519
-61.462008,-142.213696
-63.422392,-146.810765
-65.378744,-151.409915
-67.330681,-156.011337
-69.277817,-160.615218
-71.219769,-165.221749
-73.156155,-169.831119
-75.086708,-174.443456
-77.011622,-179.058650
-78.931202,-183.676532
-80.845752,-188.296935
-82.755578,-192.919692
-84.660984,-197.544635
-86.562274,-202.171595
-88.459753,-206.800405
-90.353726,-211.430898
-92.244497,-216.062905
-94.132371,-220.696259
-96.017652,-225.330792
-97.900646,-229.966337
-99.781657,-234.602725
-101.660989,-239.239789
-103.538947,-243.877361
-105.415836,-248.515274
-107.291961,-253.153359
-109.167625,-257.791449
-111.043134,-262.429376
-112.918792,-267.066972
-114.794904,-271.704070
-116.671775,-276.340502
-118.549709,-280.976100
-120.429010,-285.610696
-122.309984,-290.244123
-124.192935,-294.876213
-126.078168,-299.506798
-127.965987,-304.135710
-129.856696,-308.762782
-131.750602,-313.387846
-133.648007,-318.010734
-135.549218,-322.631278
-137.454538,-327.249311
-139.364272,-331.864664
-141.278724,-336.477171
-143.198200,-341.086663
-145.122892,-345.693050
-147.052573,-350.296530
-148.986919,-354.897368
-150.925603,-359.495831
-152.868303,-364.092184
-154.814692,-368.686692
-156.764445,-373.279621
-158.717239,-377.871237
-160.672748,-382.461806
-162.630646,-387.051594
-164.590611,-391.640865
-166.552315,-396.229886
-168.515435,-400.818922
-170.479646,-405.408239
-172.444622,-409.998102
-174.410040,-414.588779
-176.375573,-419.180533
-178.340898,-423.773630
-180.305689,-428.368337
-182.269622,-432.964920
-184.232371,-437.563642
-186.193611,-442.164772
-188.153019,-446.768573
-190.110268,-451.375312
-192.065034,-455.985254
-194.016993,-460.598666
-195.965819,-465.215812
-197.911187,-469.836958
-199.852773,-474.462371
-201.790252,-479.092316
-203.723299,-483.727057
-205.651588,-488.366863
-207.574795,-493.011996
-209.492596,-497.662725
-211.404665,-502.319313
-213.310677,-506.982027
-215.210309,-511.651133
-217.109216,-516.322168
-219.034680,-520.973582
-221.018868,-525.579965
-223.093945,-530.115904
-225.292079,-534.555990
-227.645436,-538.874810
-230.186181,-543.046954
-232.946481,-547.047012
-235.958503,-550.849571
-239.254413,-554.429221
-242.854474,-557.763162
-246.736719,-560.837865
-250.869820,-563.641851
-255.222447,-566.163644
-259.763271,-568.391767
-264.460963,-570.314744
-269.284194,-571.921098
-274.201634,-573.199351
-279.181956,-574.138028
-284.196517,-574.730081
-289.225886,-574.983627
-294.252598,-574.910027
-299.259190,-574.520641
-304.228196,-573.826832
-309.142154,-572.839959
-313.983598,-571.571384
-318.735067,-570.032467
-323.379095,-568.234570
-327.902680,-566.190558
-332.307559,-563.918268
-336.598510,-561.436563
-340.780313,-558.764305
-344.857747,-555.920357
-348.835589,-552.923583
-352.718620,-549.792844
-356.511618,-546.547003
-360.219361,-543.204923
-363.846741,-539.782689
-367.399010,-536.287353
-370.881496,-532.724130
-374.299526,-529.098238
-377.658428,-525.414891
-380.963528,-521.679307
-384.220155,-517.896701
-387.433634,-514.072289
-390.609294,-510.211289
-393.752461,-506.318916
-396.868464,-502.400386
-399.962628,-498.460915
-403.040282,-494.505720
-406.106752,-490.540017
-409.167366,-486.569022
-412.227451,-482.597951
-415.292334,-478.632021
-418.367343,-474.676447
-421.457804,-470.736446
-424.567727,-466.815904
-427.696911,-462.914464
-430.844317,-459.030923
-434.008905,-455.164076
-437.189637,-451.312721
-440.385472,-447.475653
-443.595371,-443.651670
-446.818296,-439.839567
-450.053206,-436.038141
-453.299063,-432.246188
-456.554827,-428.462506
-459.819458,-424.685889
-463.091918,-420.915136
-466.371166,-417.149041
-469.656164,-413.386402
-472.945873,-409.626015
-476.239252,-405.866677
-479.535263,-402.107183
-482.832636,-398.346298
-486.129385,-394.582684
-489.423384,-390.814982
-492.712506,-387.041835
-495.994626,-383.261884
-499.267618,-379.473773
-502.529355,-375.676142
-505.777712,-371.867634
-509.010563,-368.046891
-512.225781,-364.212555
-515.421241,-360.363268
-518.594817,-356.497672
-521.744382,-352.614409
-524.867812,-348.712122
-527.962978,-344.789452
-531.027757,-340.845041
-534.060020,-336.877532
-537.057644,-332.885567
-540.018502,-328.867787
-542.941574,-324.823561
-545.829226,-320.754475
-548.684471,-316.662541
-551.510319,-312.549770
-554.309784,-308.418172
-557.085876,-304.269759
-559.841608,-300.106542
-562.579992,-295.930531
-565.304039,-291.743738
-568.016762,-287.548173
-570.721172,-283.345847
-573.420281,-279.138773
-576.117102,-274.928959
-578.814645,-270.718418
-581.515924,-266.509160
-584.223949,-262.303197
-586.941733,-258.102539
-589.672282,-253.909193
-592.417169,-249.724286
-595.174652,-245.546901
-597.942526,-241.375839
-600.718582,-237.209897
-603.500614,-233.047874
-606.286415,-228.888569
-609.073779,-224.730779
-611.860497,-220.573303
-614.644363,-216.414941
-617.423170,-212.254490
-620.194710,-208.090748
-622.956778,-203.922515
-625.707165,-199.748589
-628.443665,-195.567768
-631.164071,-191.378851
-633.866176,-187.180637
-636.547773,-182.971923
-639.206654,-178.751509
-641.840599,-174.518185
-644.443920,-170.269087
-647.003056,-165.997583
-649.503354,-161.696519
-651.930162,-157.358744
-654.268827,-152.977104
-656.504697,-148.544446
-658.623119,-144.053617
-660.609442,-139.497464
-662.449033,-134.868855
-664.131796,-130.165046
-665.657801,-125.393136
-667.028502,-120.561564
-668.245355,-115.678769
-669.309814,-110.753189
-670.223333,-105.793264
-670.987367,-100.807432
-671.603371,-95.804132
-672.072800,-90.791794
-672.397143,-85.777257
-672.577974,-80.763826
-672.616874,-75.754332
-672.515425,-70.751606
-672.275210,-65.758482
-671.897811,-60.777790
-671.384809,-55.812362
-670.737788,-50.865029
-669.958329,-45.938624
-669.048015,-41.035977
-668.008428,-36.159922
-666.841149,-31.313288
