# x_m,y_m
0.000000,0.000000
-2.586758,-6.193360
-5.382251,-12.875960
-8.200115,-19.580797
-11.040350,-26.285633
-13.888046,-33.023825
-16.743204,-39.795372
-19.620732,-46.566918
-22.505722,-53.371820
-25.413083,-60.187840
-28.335360,-67.037215
-31.257645,-73.897708
-34.209755,-80.769318
-37.161873,-87.663165
-40.113998,-94.590367
-43.088494,-101.528688
-46.040634,-108.511483
-49.022600,-115.483157
-52.004573,-122.510425
-54.986554,-129.548811
-57.998362,-136.598314
-61.017632,-143.658934
-64.051819,-150.730672
-67.093469,-157.835765
-70.135127,-164.951976
-73.176792,-172.101542
-76.225920,-179.262226
-79.275056,-186.434027
-82.324200,-193.661423
-85.358442,-200.866578
-88.392692,-208.127328
-91.419495,-215.399195
-94.438851,-222.671060
-97.458216,-229.976281
-100.492497,-237.281501
-103.534242,-244.620075
-106.598359,-251.936410
-109.692305,-259.274980
-112.786258,-266.624668
-115.910040,-273.996592
-119.041284,-281.357395
-122.187447,-288.740434
-125.378348,-296.112350
-128.576712,-303.495384
-131.804905,-310.856178
-135.085291,-318.250325
-138.388050,-325.611113
-141.720639,-332.983017
-145.083055,-340.343799
-148.467845,-347.671221
-151.875010,-355.054236
-155.282184,-362.426130
-158.681911,-369.809141
-162.081648,-377.214388
-165.459029,-384.619634
-168.851329,-392.058234
-172.221273,-399.507953
-175.628500,-406.935430
-179.028282,-414.362905
-182.405705,-421.745902
-185.738402,-429.017707
-188.974183,-436.044892
-192.127956,-442.849696
-195.184812,-449.432119
-198.144750,-455.825518
-200.985404,-462.007656
-203.721685,-468.023009
-206.368501,-473.815982
-208.910941,-479.419931
-211.393737,-484.812619
-213.801977,-489.982925
-216.158029,-495.019803
-218.454435,-499.845419
-220.735928,-504.504247
-223.039782,-508.962929
-225.395819,-513.210345
-227.900959,-517.279848
-230.592480,-521.238150
-233.418193,-525.029659
-236.370643,-528.632137
-239.487107,-532.090057
-242.775043,-535.447896
-246.226993,-538.627820
-249.872776,-541.607589
-253.660209,-544.476159
-257.581835,-547.189052
-261.667474,-549.701790
-265.827659,-552.003259
-270.129489,-554.082335
-274.453678,-555.961263
-278.956787,-557.584439
-283.430068,-559.051945
-288.037530,-560.141391
-292.667354,-561.130759
-297.319527,-561.753191
-302.038791,-562.219948
-306.758040,-562.408724
-311.477274,-562.297278
-316.203952,-561.985684
-320.945527,-561.440584
-325.649808,-560.606385
-330.361533,-559.594275
-335.028507,-558.304185
-339.643277,-556.758355
-344.176022,-554.967906
-348.619285,-552.943956
-352.995434,-550.719863
-357.304466,-548.228912
-361.509109,-545.582296
-365.616814,-542.691062
-369.605219,-539.644165
-373.504141,-536.374889
-377.313587,-532.972186
-381.026100,-529.436058
-384.634221,-525.699790
-388.160325,-521.907929
-391.626772,-517.960403
-395.011198,-513.912808
-398.306148,-509.731787
-401.571265,-505.461814
-404.791641,-501.136246
-407.982185,-496.710607
-411.180177,-492.262727
-414.318516,-487.725896
-417.479213,-483.144585
-420.624989,-478.496559
-423.793124,-473.837411
-427.028351,-469.167136
-430.308303,-464.474618
-433.632980,-459.782095
-437.024746,-455.056207
-440.438873,-450.330315
-443.912634,-445.593298
-447.423664,-440.822918
-450.979416,-436.019176
-454.564983,-431.226547
-458.195275,-426.422794
-461.877743,-421.574558
-465.582571,-416.726317
-469.317210,-411.844714
-473.066751,-406.929750
-476.846106,-402.025901
-480.655274,-397.099808
-484.479344,-392.151473
-488.325771,-387.192014
-492.209467,-382.221430
-496.122976,-377.250841
-500.051387,-372.258010
-504.009610,-367.254055
-507.975281,-362.238976
-511.933486,-357.190539
-515.869322,-352.175458
-519.849877,-347.104774
-523.815515,-342.034089
-527.796053,-336.930043
-531.761674,-331.825995
-535.712372,-326.666350
-539.655605,-321.473345
-543.561552,-316.246984
-547.460034,-310.976145
-551.343593,-305.660827
-554.794811,-300.923744
-558.633621,-295.552830
-562.427685,-290.081846
-566.169553,-284.577507
-569.889041,-278.984215
-573.563782,-273.301971
-577.238512,-267.586368
-580.905776,-261.826287
-584.543212,-256.055087
-588.188092,-250.261646
-591.832962,-244.434845
-595.485278,-238.585802
-599.152494,-232.725637
-602.819699,-226.820992
-606.524169,-220.905222
-610.265906,-214.989446
-614.059818,-209.062543
-617.883543,-203.135633
-621.699800,-197.175365
-625.478770,-191.159502
-629.190634,-185.110287
-632.783200,-178.949891
-636.219196,-172.689438
-639.506075,-166.317808
-642.643841,-159.868359
-645.617582,-153.307735
-648.375119,-146.680419
-650.946269,-139.964169
-653.256484,-133.147876
-655.343040,-126.253774
-657.228305,-119.292979
-658.882459,-112.254375
-660.283145,-105.204682
-661.430356,-98.066063
-662.331555,-90.905235
-662.949467,-83.699963
-663.351188,-76.472477
-663.491989,-69.211664
-663.409152,-61.984234
-663.080308,-54.734594
